"STATION","NAME","DATE","AWND","PGTM","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TSUN","WT01","WT02","WT03","WT04","WT05","WT06","WT07","WT08","WT09","WT10","WT11","WT12","WT13","WT14","WT15","WT16","WT17","WT18","WT19","WT21","WT22","WV20"
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-20",," 1300","0.00","0.0","0.0",,"70","43",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-21",," 1330","0.00","0.0","0.0",,"80","52",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-22",," 1300","0.01","0.0","0.0",,"84","60",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-23",," 1518","0.00","0.0","0.0",,"95","58",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-24",," 1448","0.00","0.0","0.0",,"94","58",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-25",," 1100","0.00","0.0","0.0",,"93","66",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-26",," 1548","0.04","0.0","0.0",,"91","64",,,,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-27",," 0142","0.14","0.0","0.0",,"72","62",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-28",," 0512","0.00","0.0","0.0",,"62","49",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-29",," 2306","0.00","0.0","0.0",,"74","44",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-04-30",," 1736","0.00","0.0","0.0",,"72","54",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-01",," 1236","0.13","0.0","0.0",,"65","48",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-02",," 1018","0.00","0.0","0.0",,"66","42",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-03",," 1630","0.00","0.0","0.0",,"70","45",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-04",," 1554","0.00","0.0","0.0",,"72","46",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-05",," 1300","0.00","0.0","0.0",,"76","52",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-06",," 1336","0.00","0.0","0.0",,"78","51",,,,,,,,,"    1",,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-07",," 1636","0.00","0.0","0.0",,"77","54",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-08",," 1142","1.22","0.0","0.0",,"67","51",,"    1",,"    1",,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-09",," 0548","0.13","0.0","0.0",,"60","47",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-10",," 1236","0.00","0.0","0.0",,"70","48",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-11",," 0036","0.00","0.0","0.0",,"62","51",,"    1",,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-12",," 1136","0.26","0.0","0.0",,"56","49",,"    1",,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-13",," 2012","0.00","0.0","0.0",,"63","48",,,,,,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-14",," 0906","0.00","0.0","0.0",,"63","45",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-15",," 1142","0.00","0.0","0.0",,"80","49",,,,,,,,,,,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-16",," 1212","0.00","0.0","0.0",,"87","59",,,,,,,,,,,,,,,,,,,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-17",," 1724","0.03","0.0","0.0",,"85","60",,,,"    1",,,,,"    1",,,,,,,,"    1",,,,,,
"USW00013743","WASHINGTON REAGAN NATIONAL AIRPORT, VA US","1960-05-18",," 0836","0.00","0.0","0.0",,"75","61",,,,,,,,,,,,,,,,,"    1",,,,,,
